
c,459
Da Nang,9811.08
Quang Nam,8039.6075
Ha Noi,7781.25
Ho Chi Minh,7256.725
Dak Lak,6939.0875
Quang Ngai,5835.3625
Nghe An,3443.7625
Thua Thien Hue,2281.1875
Gia Lai,2005.575
Binh Dinh,1891.075
Quang Ninh,1404.85
Kon Tum,1376.1325
Bac Ninh,1267.675
Khanh Hoa ,1264.8125
Thanh Hoa,1231.5125
Ha Nam,1194.975
Lao Cai,1190.4875
Quang Tri ,1187.975
Hai Duong,1187.225
Dong Nai,1144.6
Phu Yen,1127.3625
Hung Yen,1114.45
Ha Giang,1084.2125
Dong Thap,1073.275
Ba Ria - Vung Tau,1068.2
Ninh Binh,1030.4
Can Tho,1024.0875
Kien Giang,1019.3625
Ha Tinh,1011.7125
Vinh Phuc,997.1125
Binh Thuan,988.3125
Tay Ninh,951.2
Ninh Thuan,805.35
Bac Giang,794.2625
Quang Binh,786.5875
Thai Nguyen,785.9
Tra Vinh,779.5
Lang Son ,774.025
Ben Tre,765.0625
Phu Tho,755.775
Lai Chau,752.8875
Bac Lieu,666.55
Lam Dong,662.975
Binh Duong,625.4875
Yen Bai ,584.9625
Hai Phong ,518.2
Hau Giang,374.4625
Thai Binh ,367.6875
Binh Phuoc ,305.9875
Hoa Binh ,283.75
Tuyen Quang,282.0625
An Giang,265.9625
Tien Giang,264.175
Nam Dinh,262.7625
Cao Bang ,260.125
Ca Mau ,259.375
Vinh Long,258.7875
Long An,258.1375
Soc Trang,252.0875
Dak Nong,244.25
Son La,236.1375
Dien Bien,233.25
Bac Kan,233.1125
