
c,446
Ha Noi,8137.5
Ho Chi Minh,8708.07
Bac Ninh,1521.21
Quang Ninh,1685.82
Lao Cai,1428.585
Hai Duong,1424.67
Dong Nai,1373.52
Thanh Hoa,1477.815
Hung Yen,1337.34
Ha Giang,1301.055
Dong Thap,1287.93
Ba Ria - Vung Tau,1281.84
Ninh Binh,1236.48
Can Tho,1228.905
Kien Giang,1223.235
Ha Tinh,1214.055
Vinh Phuc,1196.535
Binh Thuan,1185.975
Tay Ninh,1141.44
Ha Nam,1133.97
Nghe An,1132.515
Quang Nam,7538.529
Da Nang,9373.296
Ninh Thuan,966.42
Bac Giang,953.115
Quang Binh,943.905
Thai Nguyen,943.08
Tra Vinh,935.4
Lang Son ,928.83
Thua Thien Hue,2737.425
Ben Tre,918.075
Phu Tho,906.93
Lai Chau,903.465
Binh Duong,750.585
Bac Lieu,799.86
Lam Dong,795.57
Binh Dinh,2269.29
Yen Bai ,701.955
Hai Phong ,621.84
Khanh Hoa ,617.775
Quang Ngai,6102.435
Phu Yen,452.835
Hau Giang,449.355
Gia Lai,2406.69
Thai Binh ,441.225
Dak Lak,2926.905
Quang Tri ,1425.57
Binh Phuoc ,367.185
Hoa Binh ,340.5
Tuyen Quang,338.475
An Giang,319.155
Tien Giang,317.01
Nam Dinh,315.315
Cao Bang ,312.15
Ca Mau ,311.25
Vinh Long,310.545
Long An,309.765
Kon Tum,1651.359
Soc Trang,302.505
Dak Nong,293.1
Son La,283.365
Dien Bien,279.9
Bac Kan,279.735
