
c,713
Da Nang,9178.65
Quang Nam,6442.18218
Ho Chi Minh,4951.4094
Dak Lak,4001.3001
Ha Noi,3669.75
Lang Son ,3162.1086
Dong Nai,3096.8784
Ha Nam,2996.2674
Bac Giang,2920.3083
Thai Binh ,2705.3145
Quang Ngai,2563.0227
Hai Phong ,1256.5728
Nghe An,1231.6563
Lam Dong,1216.1394
Quang Ninh,1212.0444
Thua Thien Hue,1149.7185
Khanh Hoa ,1141.4655
Ha Tinh,1139.9031
Lao Cai,978.0057
Bac Ninh,638.9082
Gia Lai,632.8098
Quang Tri ,598.7394
Hai Duong,598.3614
Binh Dinh,575.1018
Thanh Hoa,570.2823
Phu Yen,568.1907
Kon Tum,567.57078
Binh Duong,567.2457
Hung Yen,561.6828
Ha Giang,546.4431
Dong Thap,540.9306
Ba Ria - Vung Tau,538.3728
Quang Binh,522.4401
Ninh Binh,519.3216
Can Tho,516.1401
Kien Giang,513.7587
Vinh Phuc,502.5447
Dak Nong,501.102
Binh Thuan,498.1095
Tay Ninh,479.4048
Ninh Thuan,405.8964
Thai Nguyen,396.0936
Tra Vinh,392.868
Ben Tre,385.5915
Phu Tho,380.9106
Lai Chau,379.4553
Bac Lieu,335.9412
Yen Bai ,294.8211
Hau Giang,188.7291
Binh Phuoc ,154.2177
Hoa Binh ,143.01
Tuyen Quang,142.1595
An Giang,134.0451
Tien Giang,133.1442
Nam Dinh,132.4323
Cao Bang ,131.103
Ca Mau ,130.725
Vinh Long,130.4289
Long An,130.1013
Soc Trang,127.0521
Son La,119.0133
Dien Bien,117.558
Bac Kan,117.4887
