
c,789
Da Nang,9922.432
Quang Nam,6512.843
Ho Chi Minh,4929.69
Ha Noi,4112.5
Lang Son,3909.61
Quang Ngai,3534.145
Dak Lak,3175.635
Quang Tri,2975.19
Dong Nai,2957.84
Thai Binh,2947.075
Hai Duong,2474.89
Thanh Hoa,2452.605
Ha Nam,2377.99
Bac Giang,2317.705
Hai Phong,997.28
Nghe An,977.505
Lam Dong,965.19
Quang Ninh,961.94
Thua Thien Hue,912.475
Ha Tinh,904.685
Lao Cai,776.195
Bac Ninh,507.07
Khanh Hoa,505.925
Gia Lai,502.23
Binh Dinh,456.43
Phu Yen,450.945
Kon Tum,450.453
Binh Duong,450.195
Hung Yen,445.78
Ha Giang,433.685
Dong Thap,429.31
Ba Ria - Vung Tau,427.28
Quang Binh,414.635
Ninh Binh,412.16
Can Tho,409.635
Kien Giang,407.745
Vinh Phuc,398.845
Dak Nong,397.7
Binh Thuan,395.325
Tay Ninh,380.48
Ninh Thuan,322.14
Thai Nguyen,314.36
Tra Vinh,311.8
Ben Tre,306.025
Phu Tho,302.31
Lai Chau,301.155
Bac Lieu,266.62
Yen Bai,233.985
Hau Giang,149.785
Binh Phuoc,122.395
Hoa Binh,113.5
Tuyen Quang,112.825
An Giang,106.385
Tien Giang,105.67
Nam Dinh,105.105
Cao Bang,104.05
Ca Mau,103.75
Vinh Long,103.515
Long An,103.255
Soc Trang,100.835
Son La,94.455
Dien Bien,93.3
Bac Kan,93.245
