Hai Bà Trưng,70.25
Hoàn Kiếm,70.05
Đống Đa,67.45
Tây Hồ,65.25
Ba Đình,64.45
Cầu Giấy,64.45
Thanh Xuân,62.349999999999994
Long Biên,59.65
Hà Đông,58.15
Nam Từ Liêm,52.75
Bắc Từ Liêm,47.95
Hoàng Mai,44.8
Mê Linh,39.1
Gia Lâm,37.0
Đông Anh,36.55
Sơn Tây,35.95
Thanh Trì,35.65
Sóc Sơn,31.299999999999997
Ba Vì,30.25
Hoài Đức,30.25
Mỹ Đức,30.25
Thạch Thất,30.25
Chương Mỹ,28.15
Đan Phượng,28.15
Phúc Thọ,28.15
Quốc Oai,28.15
Thường Tín,28.15
Ứng Hòa,22.75
Phú Xuyên,22.75
Thanh Oai,22.75

